Name,Type,Description,Labels
octez_sc_rollup_node_batcher_batches_size,Gauge,"Batcher batches sent",
octez_sc_rollup_node_batcher_get_time,Gauge,"Time to fetch batches",
octez_sc_rollup_node_batcher_inject_time,Gauge,"Time to inject batches",
octez_sc_rollup_node_batcher_last_batch_level,Gauge,"Last batch level",
octez_sc_rollup_node_batcher_last_batch_time,Gauge,"Last batch time",
octez_sc_rollup_node_batcher_message_queue_size,Gauge,"Batcher message queue size",
octez_sc_rollup_node_batcher_messages_size,Gauge,"Batcher messages size in batches",
octez_sc_rollup_node_block_timeout,Gauge,"Number of block before player timeout",opponent;start_level
octez_sc_rollup_node_challenge_window,Gauge,"Current challenge window",
octez_sc_rollup_node_commitment_period,Gauge,"Current commitment period",
octez_sc_rollup_node_dal_attestation_lag,Gauge,"DAL attestation lag",
octez_sc_rollup_node_dal_batcher_queue_length,Gauge,"Number of messages waiting for publication on the DAL",
octez_sc_rollup_node_dal_enabled,Gauge,"DAL enabled in protocol",
octez_sc_rollup_node_dal_injections_queue_length,Gauge,"Number of recently published DAL slots, who have not yet been forgotten",
octez_sc_rollup_node_dal_number_of_slots,Gauge,"DAL number of slots",
octez_sc_rollup_node_gc_oldest_available_level,Gauge,"Oldest Available Level after GC",
octez_sc_rollup_node_gc_process_time,Gauge,"GC processing time",
octez_sc_rollup_node_inbox_external_messages_number,Gauge,"Number of external messages in inbox",
octez_sc_rollup_node_inbox_fetch_time,Gauge,"The time the rollup node spent fetching the inbox",
octez_sc_rollup_node_inbox_internal_messages_number,Gauge,"Number of internal messages in inbox",
octez_sc_rollup_node_inbox_level,Gauge,"Level of last inbox",
octez_sc_rollup_node_inbox_process_time,Gauge,"The time the rollup node spent processing the head",
octez_sc_rollup_node_inbox_total_time,Gauge,"The total time the rollup node spent handling the inbox",
octez_sc_rollup_node_lcc_level_l1,Gauge,"Last cemented commitment level on L1",
octez_sc_rollup_node_lcc_level_local,Gauge,"Last cemented commitment level locally",
octez_sc_rollup_node_lpc_level_l1,Gauge,"Last published commitment on L1",
octez_sc_rollup_node_lpc_level_local,Gauge,"Last published commitment by operator",
octez_sc_rollup_node_node_info,Counter,"General information on the node",version;commit_hash;commit_date
octez_sc_rollup_node_number_of_conflicts,Gauge,"Number of conflicts",
octez_sc_rollup_node_protocol,Counter,"Rollup node current protocol",protocol
octez_sc_rollup_node_rollup_node_info,Counter,"Rollup node info",rollup_address;mode;genesis_level;genesis_hash;pvm_kind;history_mode
octez_sc_rollup_node_state_of_refutation_game,Gauge,"State of refutation game",opponent;start_level


